# kaynak veri/kopru/capraz_kontrol.npz; CSV 1/10 seyreltildi, PNG tam cozunurlukten cizildi; voltaj maks fark 0 mV
# dogrulama_capraz.png kaynak verisi
t_ms,v_hoc,v_py,fark_mV
156.25,-65.1391,-65.1391,0
156.5,-65.1366,-65.1366,0
156.75,-65.1341,-65.1341,0
157,-65.1316,-65.1316,0
157.25,-65.1291,-65.1291,0
157.5,-65.1266,-65.1266,0
157.75,-65.1241,-65.1241,0
158,-65.1216,-65.1216,0
158.25,-65.1192,-65.1192,0
158.5,-65.1167,-65.1167,0
158.75,-65.1142,-65.1142,0
159,-65.1118,-65.1118,0
159.25,-65.1093,-65.1093,0
159.5,-65.1069,-65.1069,0
159.75,-65.1044,-65.1044,0
160,-65.102,-65.102,0
160.25,-65.0996,-65.0996,0
160.5,-65.0971,-65.0971,0
160.75,-65.0947,-65.0947,0
161,-65.0923,-65.0923,0
161.25,-65.0898,-65.0898,0
161.5,-65.0874,-65.0874,0
161.75,-65.085,-65.085,0
162,-65.0826,-65.0826,0
162.25,-65.0802,-65.0802,0
162.5,-65.0778,-65.0778,0
162.75,-65.0754,-65.0754,0
163,-65.073,-65.073,0
163.25,-65.0706,-65.0706,0
163.5,-65.0682,-65.0682,0
163.75,-65.0659,-65.0659,0
164,-65.0635,-65.0635,0
164.25,-65.0611,-65.0611,0
164.5,-65.0587,-65.0587,0
164.75,-65.0564,-65.0564,0
165,-65.054,-65.054,0
165.25,-65.0517,-65.0517,0
165.5,-65.0493,-65.0493,0
165.75,-65.047,-65.047,0
166,-65.0446,-65.0446,0
166.25,-65.0423,-65.0423,0
166.5,-65.0399,-65.0399,0
166.75,-65.0376,-65.0376,0
167,-65.0353,-65.0353,0
167.25,-65.0329,-65.0329,0
167.5,-65.0306,-65.0306,0
167.75,-65.0283,-65.0283,0
168,-65.026,-65.026,0
168.25,-65.0237,-65.0237,0
168.5,-65.0214,-65.0214,0
168.75,-65.019,-65.019,0
169,-65.0167,-65.0167,0
169.25,-65.0144,-65.0144,0
169.5,-65.0121,-65.0121,0
169.75,-65.0099,-65.0099,0
170,-65.0076,-65.0076,0
170.25,-65.0053,-65.0053,0
170.5,-65.003,-65.003,0
170.75,-65.0007,-65.0007,0
171,-64.9984,-64.9984,0
171.25,-64.9962,-64.9962,0
171.5,-64.9939,-64.9939,0
171.75,-64.9916,-64.9916,0
172,-64.9894,-64.9894,0
172.25,-64.9871,-64.9871,0
172.5,-64.9849,-64.9849,0
172.75,-64.9826,-64.9826,0
173,-64.9804,-64.9804,0
173.25,-64.9781,-64.9781,0
173.5,-64.9759,-64.9759,0
173.75,-64.9736,-64.9736,0
174,-64.9714,-64.9714,0
174.25,-64.9692,-64.9692,0
174.5,-64.9669,-64.9669,0
174.75,-64.9647,-64.9647,0
175,-64.9625,-64.9625,0
175.25,-64.9603,-64.9603,0
175.5,-64.958,-64.958,0
175.75,-64.9558,-64.9558,0
176,-64.9536,-64.9536,0
176.25,-64.9514,-64.9514,0
176.5,-64.9492,-64.9492,0
176.75,-64.947,-64.947,0
177,-64.9448,-64.9448,0
177.25,-64.9426,-64.9426,0
177.5,-64.9404,-64.9404,0
177.75,-64.9382,-64.9382,0
178,-64.936,-64.936,0
178.25,-64.9338,-64.9338,0
178.5,-64.9317,-64.9317,0
178.75,-64.9295,-64.9295,0
179,-64.9273,-64.9273,0
179.25,-64.9251,-64.9251,0
179.5,-64.9229,-64.9229,0
179.75,-64.9208,-64.9208,0
180,-64.9186,-64.9186,0
180.25,-64.9164,-64.9164,0
180.5,-64.9143,-64.9143,0
180.75,-64.9121,-64.9121,0
181,-64.91,-64.91,0
181.25,-64.9078,-64.9078,0
181.5,-64.9057,-64.9057,0
181.75,-64.9035,-64.9035,0
182,-64.9014,-64.9014,0
182.25,-64.8992,-64.8992,0
182.5,-64.8971,-64.8971,0
182.75,-64.895,-64.895,0
183,-64.8928,-64.8928,0
183.25,-64.8907,-64.8907,0
183.5,-64.8886,-64.8886,0
183.75,-64.8864,-64.8864,0
184,-64.8843,-64.8843,0
184.25,-64.8822,-64.8822,0
184.5,-64.8801,-64.8801,0
184.75,-64.8779,-64.8779,0
185,-64.8758,-64.8758,0
185.25,-64.8737,-64.8737,0
185.5,-64.8716,-64.8716,0
185.75,-64.8695,-64.8695,0
186,-64.8674,-64.8674,0
186.25,-64.8653,-64.8653,0
186.5,-64.8632,-64.8632,0
186.75,-64.8611,-64.8611,0
187,-64.859,-64.859,0
187.25,-64.8569,-64.8569,0
187.5,-64.8548,-64.8548,0
187.75,-64.8527,-64.8527,0
188,-64.8506,-64.8506,0
188.25,-64.8485,-64.8485,0
188.5,-64.8465,-64.8465,0
188.75,-64.8444,-64.8444,0
189,-64.8423,-64.8423,0
